,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
0,Comedy,Mother And Son,Mother And Son,Series 2 Episode 6 The Card Game,"What is it about mothers and their sons? Maggie, the slightly senile widow, and her son Arthur live together and must deal with everyday situations that somehow become dramatic and hilarious experiences.","Arthur invites three friends around for a poker night, although Maggie suggests that snakes and ladders might be nicer. After meeting Arthur's friend Igor, Maggie is sure he is a Russian spy.","['ABC TV', 'ABC TV Plus', 'COMEDY']",https://cdn.iview.abc.net.au/thumbs/i/co/CO8501H006S00_60cbe9854651c_1280.jpg,"Cast Ruth Cracknell, Garry McDonald, Henri Szeps","['abc1', 'abc2', 'aussie', 'australia', 'a:established-parents', 'a:older-sink-dink', 'a:young-sink-dink', 'a:retirees', 'ns:be-entertained', 'comedy', 'satire', 'funny', 'lighthearted', 'charming', 'witty', 'family-relationships', 'family-dysfunction', 'offbeat', 'feel-good', 'classic', 'nostalgia', 'cult-favourite', 'sitcom']",2021-06-30 07:00:00,G,1581
1,Comedy,Frayed,Frayed,Series 2 Episode 1,"Sammy returns to London to escape the heat of the missing person's case, but back in Australia, Detective Sergeant Fairbank has the Cooper family firmly under the microscope.",Sammy flees Australia for London with the hope of claiming back her opulent lifestyle - and keeping her children away from the fall out of Terry Harris' 'disappearance'.,"['ABC TV', 'COMEDY']",https://cdn.iview.abc.net.au/thumbs/i/co/CO2001H001S00_613818e60b159.jpg,"Cast Sarah Kendall, Ben Mingay, Kerry Armstrong, Frazer Hadfield, Maggie Ireland-Jones","['abc1', 'comedy', 'comedy-drama', 'quirky', 'lighthearted', 'funny', 'charming', 'endearing', 'witty', 'family-dysfunction', 'strong-female-lead', 'irreverent', 'australia']",2021-09-29 21:01:51,MA,2735
2,Comedy,8MMM,8MMM,Series 1 Episode 1,"An Indigenous crew from a remote radio station air the day-to-day shenanigans of Alice Springs and its surrounds, from education, culture, money and reconciliations.","Broadcasting from remote Alice Springs, 8MMM Aboriginal Radio draws a specific type of whitefella, missionaries, misfits and mercenaries. Dave arrives at the station and an indoor smoking ceremony causes trouble.","['ABC TV', 'COMEDY', 'INDIGENOUS']",https://cdn.iview.abc.net.au/thumbs/i/ip/IP1330D001S0056b7e51f9b5394.08120673_1280.jpg,"Cast Ian Meadows, Shari Sebbens, Geoff Morrell, Trisha Morton-Thomas, Elaine Crombie","['abc1', 'australia', 'comedy', 'sitcom', 'indigenous', 'diversity', 'culture-clash', 'aussie', 'outback', 'northern-territory', 'funny', 'witty', 'lighthearted', 'feel-good']",2021-06-04 07:00:00,M,1608
3,Comedy,Would I Lie To You?,Would I Lie To You?,Series 13 Episode 4,"Rob Brydon is back in the host's chair for another season of the award-winning comedy panel show, with Lee Mack and David Mitchell returning as the lightning-quick team captains.","Host Rob Brydon and team captains Lee Mack and David Mitchell are joined by Greg Davies, Guz Khan, Claudia Winkleman and Lucy Worsley.","['ABC TV Plus', 'COMEDY', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2134A004S00_5e8d646aa9b96.jpg,Host Rob Brydon,"['abc2', 'uk', 'comedy', 'panel', 'entertainment', 'cult-favourite', 'lighthearted', 'witty', 'quirky', 'funny', 'game-show', 'quiz-show', 'pop-culture']",2022-02-08 20:30:35,PG,1737
4,Comedy,Sammy J,Sammy J,Series 2 Antique Welfare,"Biting, bite-sized comedy as Sammy J and his team of troublemakers tackle the news of the week.","Live from historic Atherton House, Sammy discovers a rare gem.","['ABC TV', 'ABC TV Plus', 'COMEDY']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1806V023S00_5d37fce32502c_1280.jpg,No more information found,"['abc1', 'abc2', 'aussie', 'comedy', 'satire', 'politics', 'current-affairs', 'sammy-j', 'comedy-sketch', 'latest', 'short-comedy', 'featured']",2019-07-25 18:00:00,G,195
5,Comedy,California Suite,No data found,California Suite,"Neil Simon's laugh-drenched adaptation of his hit Broadway play, intertwining the misadventures of four groups of guests at the Beverly Hills Hotel. (1978)","Neil Simon's laugh-drenched adaptation of his hit Broadway play, intertwining the misadventures of four groups of guests at the Beverly Hills Hotel.","['ABC TV', 'ABC TV Plus', 'MOVIES', 'COMEDY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3014A001S00_60e39e65cb478_1920.jpg,Director Herbert Ross,"['abc1', 'abc2', 'film', 'comedy', 'funny', 'quirky', 'ns:be-entertained', 'a:older-sink-dink\ta:retirees\tadventure', 'friendship', 'relationships', 'usa', 'offbeat', 'award-winning', 'adaptation', 'all-star-cast', 'lgbtqi', '1970s']",2021-06-25 07:00:00,M,5899
6,Comedy,The Librarians,The Librarians,Series 1 Episode 6 And Nothing But The Truth,"Frances O'Brien is the neurotic manager of the Primrose Park Library. Conservative Frances is put into a spin when she is forced to employ Christine Katafoudes, her best friend from Catholic school.",Frances is flushed with excitement over Book Week but not for long. The truth behind Dawn's accident is revealed and Frances and Christine are brought together in the most unlikely circumstance.,"['ABC TV Plus', 'COMEDY']",https://cdn.iview.abc.net.au/thumbs/i/dr/DR0606V006S00_5ae7ebf543e79_1280.jpg,"Cast Robyn Butler, Roz Hammond, Heidi Arena, Stephen Ballantyne, Wayne Hope","['abc2', 'aussie', 'comedy', 'funny', 'quirky', 'feel-good', 'sitcom', 'workplace', 'friendship', 'relationships', 'offbeat']",2021-06-04 07:00:00,M,1610
7,Comedy,Peep Show,Peep Show,Series 9 Episode 1 The William Morris Years,"Mark and Jeremy are two very ordinary weirdos who are also flatmates in south London, navigating their way through their twenties.","Last time we saw Mark and Jeremy it looked like the end of the El Dude Brothers, but time has passed and while Jez has some rather constrictive new living quarters, Mark has found a new flat mate and landed a swanky bank job.","['ABC TV Plus', 'COMEDY']",https://cdn.iview.abc.net.au/thumbs/i/zx/ZX6602A001S0056ca5b84911767.90688869_1280.jpg,"Cast David Mitchell, Robert Webb","['abc2', 'comedy', 'sitcom', 'uk', 'quirky', 'cult-favourite', 'friendship', 'off-beat', 'lighthearted', 'relationships', 'coming-of-age', 'a:established-parents', 'a:home-duties', 'a:older-sink-dink', 'a:working-parents', 'ns:be-entertained', 'ns:relieve-boredom', 'funny']",2021-07-31 07:00:00,M,1402
8,Comedy,F*!#ing Adelaide,F*!#ing Adelaide,Series 1 Episode 3 Emma Loves Leather,"When the matriarch of an unconventional family decides to sell the family home to rid herself of debt racked up by her ex-husband, she provokes existential crises in her children as they return to Adelaide to say farewell.","Before returning to Thailand, Emma tries to connect with Maude over old family photos. An argument over the provenance of an unearthed leather jacket causes Maude to reveal her true intentions behind selling the house.","['ABC TV Plus', 'DRAMA', 'COMEDY']",https://cdn.iview.abc.net.au/thumbs/i/co/CO1603S003S00_5b07708734bb2_1280.jpg,"Cast Pamela Rabe, Brendan Maclean, Kate Box, Tilda Cobham-Hervey","['abc2', 'drama', 'comedy', 'family-relationships', 'quirky', 'offbeat', 'funny', 'charming', 'aussie', 'australia', 'south-australia', 'adelaide', 'a:older-sink-dinks', 'ns:be-entertained', 'suburbia']",2021-06-04 07:00:00,M,928
9,Comedy,Julia Zemiro's Home Delivery,Julia Zemiro's Home Delivery,Series 3 Waleed Aly,"Julia Zemiro invites notable personalities to join her on a nostalgia filled trip to discover the people, places, and stories that have made them who they are today.","Waleed Aly is a lawyer, writer, columnist and lecturer, and is considered one of the country's foremost thinkers. He is an influential voice on matters as varied as sport, politics, theology, science and religion.","['ABC TV', 'ABC TV Plus', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1461H007S00559f50f1d0fd55.85108542_1280.jpg,Host Julia Zemiro,"['abc1', 'abc2', 'docs', 'people', 'entertainment', 'interview', 'emotional', 'feel-good', 'heartwarming', 'inspirational', 'gender', 'diversity', 'revealing', 'a:older-sink-dink', 'a:established-parents', 'a:retirees', 'ns:be-inspired', 'ns:be-entertained', 'ns:understand', 'australia', 'aussie', 'cald', 'diversity']",2021-06-04 07:00:00,G,1619
