,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
0,Documentary,The Story of Film: An Odyssey,The Story of Film: An Odyssey,Episode 15 Cinema Today and the Future,A worldwide guided tour of the greatest movies ever made; an epic tale that starts in nickelodeons and ends as a multi-billion-dollar globalised digital industry.,"The 2000s Cinema got more serious after 9/11, and Romanian movies came to the fore. David Lynch's Mulholland Drive became one of the most complex dream films ever made, and Inception turned film into a game. (Final)","['ABC TV', 'ABC TV Plus', 'ARTS & CULTURE', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2869A015S00_60b859c68f4a1_1280.jpg,Host Mark Cousins,"['abc1', 'abc2', 'arts', 'abcarts', 'docs', 'movies', 'retro', 'docuseries', 'pop-culture', 'history', 'historical-events', 'ns:be-entertained', 'ns:be-informed', 'ns:understand', 'a:young-adults', 'a:young-sink-dink', 'a:older-sink-dink', 'a:establish']",2021-06-11 07:00:00,MA,3754
1,Documentary,Bangarra's World,Bangarra's World,Return to Country (Yirrkala),Join the dancers and creatives during Bangarra Dance Theatre's 30th anniversary as they travel Australia; stage major dance works and show us what it's like to inhibit some of the most iconic roles in Australian dance.,"In Yirrkala, Northeast Arnhem Land, Bangarra stages Nyapanyapa, a work based on the story of local Wynne Prize winning artist Nyapanyapa Yunupingu who was attacked by a buffalo and miraculously lived to tell the tale.","['ABC TV', 'ABC TV Plus', 'INDIGENOUS', 'ARTS & CULTURE', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/ar/AR1942H001S00_60e25df03e990_1280.jpg,"Director Nel Minchin, Wayne Blair","['abc1', 'abc2', 'indigenous', 'abcarts', 'arts', 'docs', 'factual', 'first-nations', 'diversity', 'bangarra', 'dance', 'performance', 'biography', 'inspirational', 'revealing', 'behind-the-scenes', 'ns:be-inspired', 'ns:be-uplifted', 'a:older-sink-dink', 'a:established-parents', 'australia']",2021-07-07 22:00:00,G,626
2,Documentary,Compass,Compass,Series 33 Women Who Do,"Compass explores the interface between religion and life as experienced by individuals and communities - including ordinary Australians, public leaders, religious thinkers and philosophers.","Before women had the vote in Australia, Anglican Deaconess Ministries was working to empower women to provide practical, educational and financial assistance in the community and 127 years later they are still going strong.","['ABC TV Plus', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/rn/RN1811H023S00_5d9fb22771de5_1280.jpg,Host Geraldine Doogue,"['abc2', 'australia', 'factual', 'docs', 'religion', 'ethics', 'people', 'culture', 'relationships', 'real-life', 'compelling', 'revealing', 'informative', 'uplifting']",2020-01-03 17:00:00,G,1634
3,Documentary,The Making Of David Attenborough's Conquest Of The Skies,No data found,The Making Of David Attenborough's Conquest Of The Skies,Witness the incredible innovations and technical advancements that went into The Making Of David Attenborough's TV series Conquest Of The Skies.,Witness the incredible innovations and technical advancements that went into The Making Of David Attenborough's TV series Conquest Of The Skies.,"['ABC TV Plus', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/zx/ZX9705A001S0054ebbdfac9aee6.67710749_1280.jpg,No more information found,"['abc2', 'docs', 'nature', 'uk', 'featured', 'david-attenborough']",2021-03-01 07:00:00,G,3159
4,Documentary,Going Country,Going Country,Series 1 Episode 1,"Justine Clarke takes a road trip into the heart of Australian country music, discovering how these musicians capture who we are as a people and a nation.","Justine Clarke connects with some of Australia's greatest musicians, discovering the origins of our country music tradition. Featuring performances by Paul Kelly and Kasey Chambers.","['ABC TV', 'DOCUMENTARY', 'ARTS & CULTURE', 'LIFESTYLE', 'REGIONAL AUSTRALIA']",https://cdn.iview.abc.net.au/thumbs/i/ac/AC2011H001S00_616e4cd71a011.jpg,Host Justine Clarke,"['abc1', 'docs', 'arts', 'factual', 'lifestyle', 'country-music', 'music', 'outback', 'docuseries', 'feel-good', 'explore', 'travel', 'inspirational', 'uplifting', 'revealing', 'gender', 'diversity', 'performance', 'indigenous-history', 'australia', 'regional', 'abc90', 'abc', '90']",2021-11-02 20:30:14,PG,3244
5,Documentary,The Story of Film: An Odyssey,The Story of Film: An Odyssey,Episode 5 Post-War Cinema,A worldwide guided tour of the greatest movies ever made; an epic tale that starts in nickelodeons and ends as a multi-billion-dollar globalised digital industry.,"1939-1952 The trauma of war led to more daring creations for cinema, including the darkening of American film and the drama of the McCarthy years. Screenwriters Paul Schrader and Robert Towne discuss the era.","['ABC TV', 'ABC TV Plus', 'ARTS & CULTURE', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2869A005S00_60b83e9213788_1920.jpg,Host Mark Cousins,"['abc1', 'abc2', 'arts', 'abcarts', 'docs', 'movies', 'retro', 'docuseries', 'pop-culture', 'history', 'historical-events', 'ns:be-entertained', 'ns:be-informed', 'ns:understand', 'a:young-adults', 'a:young-sink-dink', 'a:older-sink-dink', 'a:establish']",2021-06-11 07:00:00,M,3728
6,Documentary,Ageless Friendships,Ageless Friendships,Series 1 Episode 1 Mirinjani,An inspirational series about bridging the gap between young and old.,Monday is the favourite day of the week for aged care residents at Mirinjani Village when parents bring their children for playgroup.,"['ABC TV', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/iv/IV1916H_5d63653619ba5.jpg,No more information found,"['abc1', 'australia', 'factual', 'docs', 'docuseries', 'people', 'reality', 'emotional', 'heartfelt', 'docs-short', 'binge-worthy']",2019-08-26 14:00:00,G,385
7,Documentary,Australian Story,Australian Story,Series 2021 Saving MG99,"Putting the 'real' back into reality TV, the award-winning series with no narrator and no agendas, just authentic stories told in people's own words. For 26 years we have been telling the stories of extraordinary Australians.","A daring sea rescue led by the Australian Navy saved 99 people from certain death. Forty years later, the survivors meet their saviours in an emotional reunion.","['ABC TV', 'ABC NEWS', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2102Q022S00_6115e83bc19c0_1920.jpg,No more information found,"['abc1', 'australia', 'news', 'docs', 'factual', 'current-affairs', 'monday-night', 'investigative-reporting', 'informative', 'people', 'culture', 'diversity', 'biography', 'revealing', 'compelling', 'emotional', 'a:retirees', 'a:established-parents', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:be-inspired', 'ns:understand']",2021-08-23 20:31:30,No data found,1856
8,Documentary,Further Back In Time For Dinner,Further Back In Time For Dinner,Episode 1 The 1900s,"An ordinary family travels back in time 120 years to immerse themselves in five decades of Australian history. Annabel Crabb guides the Ferrone family through history as they cook, eat and live, from Federation to the 1940s.","Annabel Crabb and the Ferrone family return to immerse themselves in the past. The Ferrones are transported back to the 1900s where they cook, eat and live through stringent gender roles, school and Federation.","['ABC TV', 'DOCUMENTARY', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1913H001S00_5f332b2736af7.jpg,Host Annabel Crabb,"['abc1', 'docs', 'annabel-crabb', 'docueseries', 'entertainment', 'home', 'food-cooking', 'history', 'nostalgia', 'culture', 'period', 'feel-good', 'real-life', 'culture-clash', 'a:established-parents', 'a:home-duties', 'a:older-sink-dink', 'a:retirees', 'ns:be-entertained', 'australia', 'family-viewing']",2020-09-01 21:32:36,PG,3493
9,Documentary,Ask The Doctor,Ask The Doctor,Series 1 Genes,"Ask the Doctor is an innovative, fun, and exploratory factual series that addresses the state of the nation's health, the latest in medical treatments and the future of healthcare as we know it.",Dr Shalin has the confronting experience of having his genomes sequenced. What will the test reveal about the future of his health? #AskTheDoctor,"['ABC TV', 'LIFESTYLE', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1625V008S00_5ba31385eb983_1280.jpg,"Host Dr. Shalin Naik, Dr. Caroline West, Dr. Sandro Demaio","['abc1', 'lifestyle', 'docs', 'health', 'health-wellbeing', 'medical', 'all-episodes']",2022-01-07 15:30:00,PG,1746
10,Documentary,Julia Zemiro's Home Delivery,Julia Zemiro's Home Delivery,Series 7 Costa Georgiadis,"Julia Zemiro invites notable personalities to join her on a nostalgia filled trip to discover the people, places, and stories that have made them who they are today.",Julia Zemiro travels with Gardening Australia host Costa Georgiadis back to his childhood home town.,"['ABC TV', 'ABC TV Plus', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1861H001S00_5d82d7b34d81b_1280.jpg,Host Julia Zemiro,"['abc1', 'abc2', 'docs', 'people', 'entertainment', 'interview', 'emotional', 'feel-good', 'heartwarming', 'inspirational', 'gender', 'diversity', 'revealing', 'a:older-sink-dink', 'a:established-parents', 'a:retirees', 'ns:be-inspired', 'ns:be-entertained', 'ns:understand', 'australia', 'aussie', 'garden']",2019-10-09 20:31:55,PG,1677
