,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
0,Drama,The Time Of Our Lives,The Time Of Our Lives,Series 1 Episode 1,"It's the time of their frantic, messy, frustrating, funny, sometimes awful, lives. An extended Melbourne family in their late 30s and early 40s discover that, sometimes, the more choices there are the harder it becomes.","Chai Li returns to Melbourne. She has been working overseas for an aid organisation and is ready to settle down. When things don't go as planned, Chai Li's close-knit family help to pick up the pieces.","['ABC TV', 'DRAMA']",https://cdn.iview.abc.net.au/thumbs/i/dr/DR1127V_623bd8868b192_3600.jpg,"Cast Justine Clarke, Shane Jacobson, William McInnes, Stephen Curry, Claudia Karvan","['abc1', 'australia', 'drama', 'love', 'romance', 'relationships', 'friendship', 'family-dysfunction', 'marriage', 'ns:be-entertained', 'a:established-parents', 'a:young-sink-dink', 'emotional', 'endearing', 'heartfelt', 'aussie']",2021-06-11 07:10:00,PG,3224
1,Drama,You're Next,No data found,You're Next,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbours a secret talent for fighting back. (2011)","When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbours a secret talent for fighting back.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2866A001S00_609df75e6ec47_1920.jpg,Director Adam Wingard,"['abc1', 'abc2', 'drama', 'horror', 'thriller', 'slasher', 'film', 'violent', 'edge-of-your-seat', 'suspense', 'revenge', 'shocking', 'disturbing', 'intense', 'movie', 'a:young-adult', 'a:young-sink', 'ns:be-entertained', 'ns:relieve-boredom', 'usa']",2021-06-01 07:00:00,MA,5396
2,Drama,The Gods Of Wheat Street,The Gods Of Wheat Street,Series 1 Episode 5 The Mighty Are Fallen,"Follow the trials and tribulations of the Freeburns, an Aboriginal family of local legends, as they learn to let go of the past with the aid of a little magic and enough deadpan humour to tackle the future.","With Odin fighting for his life in hospital, and with the Freeburn home and workshop in danger of repossession, Libby decides it's up to her to take care of the business.","['ABC TV', 'DRAMA', 'INDIGENOUS']",https://cdn.iview.abc.net.au/thumbs/i/ip/publicity_IP1124H005S00.jpg,Director Jon Bell,"['abc1', 'drama', 'indigenous', 'people', 'aussie', 'featured', 'mothers-day', 'aboriginal', 'family', '2000s', 'family-dysfunction', 'marriage', 'parenthood', 'relationships', 'family-relationship', 'a:established-parents', 'a:older-']",2021-06-11 07:00:00,M,3110
3,Drama,Troppo,Troppo,Series 1 Episode 4,An eccentric private investigator with a criminal past recruits a disgraced ex-cop to help solve the disappearance of a Korean tech pioneer in the wilds of Far North Queensland. Inspired by Candice Fox's bestselling novel Crimson Lake.,"More human remains are recovered, leading Ted and Amanda's investigation down a darker path, just as Ted receives bombshell news from home.","['ABC TV', 'DRAMA']",https://cdn.iview.abc.net.au/thumbs/i/dr/DR2007Q004S00_61ee1b4adfde9_1920.jpg,"Cast Thomas Jane, Nicole Chamoun, David Lyons, Sun Park, Yerin Ha","['abc1', 'drama', 'mystery', 'suspense', 'crime', 'crime-drama', 'thriller', 'murder', 'detective', 'gritty', 'hard-hitting', 'dark', 'investigation', 'psychological', 'australian', 'queensland', 'adaptation', 'binge-worthy']",2022-02-27 20:32:00,M,3510
4,Drama,My Tehran For Sale,No data found,My Tehran For Sale,"Marzieh is a young actress living in Tehran. The authorities ban her theatre work and, like all young people in Iran, she is forced to lead a secret life in order to express herself artistically. (2009)","Marzieh is a young actress living in Tehran. The authorities ban her theatre work and, like all young people in Iran, she is forced to lead a secret life in order to express herself artistically.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2783A001S00_61b82b2da80a1.jpg,Director Granaz Moussavi,"['abc1', 'abc2', 'drama', 'film', 'middle-east', 'iran', 'australia', 'culture-clash', 'forbidden-love', 'cerebral', 'compelling', 'revealing', 'feature-length', 'critically-acclaimed', 'diversity', 'cald', 'strong-female-lead', 'movie', 'a:established-parents', 'a:older-sink-dink', 'ns:understand', 'a:young-sink-dink', 'ns:be-entertained']",2021-12-26 07:00:00,M,5797
5,Drama,Accused,Accused,Series 2 Episode 3 Tracie's Story,"From acclaimed writer Jimmy McGovern, each episode of The Accused examines a person who is accused of a crime and what led them to end up in the Dock.",Teacher Simon's transvestite alter-ego becomes entangled in a bitter love triangle.,"['ABC TV', 'DRAMA']",https://cdn.iview.abc.net.au/thumbs/i/zx/ZX9589A003S00_60a61951d5e62_1280.jpg,No more information found,"['abc1', 'uk', 'drama', 'crime-drama', 'crime', 'gritty', 'compelling', 'hard-hitting', 'all-star-cast', 'anthology', 'somber', 'a:established-parents', 'a:older-sink-dink', 'a:young-sink-dink', 'binge-worthy', 'ns:be-ensean-bean', 'queer']",2021-06-01 08:00:00,M,3542
6,Drama,F*!#ing Adelaide,F*!#ing Adelaide,Series 1 Episode 3 Emma Loves Leather,"When the matriarch of an unconventional family decides to sell the family home to rid herself of debt racked up by her ex-husband, she provokes existential crises in her children as they return to Adelaide to say farewell.","Before returning to Thailand, Emma tries to connect with Maude over old family photos. An argument over the provenance of an unearthed leather jacket causes Maude to reveal her true intentions behind selling the house.","['ABC TV Plus', 'DRAMA', 'COMEDY']",https://cdn.iview.abc.net.au/thumbs/i/co/CO1603S003S00_5b07708734bb2_1280.jpg,"Cast Pamela Rabe, Brendan Maclean, Kate Box, Tilda Cobham-Hervey","['abc2', 'drama', 'comedy', 'family-relationships', 'quirky', 'offbeat', 'funny', 'charming', 'aussie', 'australia', 'south-australia', 'adelaide', 'a:older-sink-dinks', 'ns:be-entertained', 'suburbia']",2021-06-04 07:00:00,M,928
7,Drama,Control,No data found,Control,"A portrait of Ian Curtis, the enigmatic singer of Joy Division whose troubled life ultimately led him to suicide. Based on the memoirs of Deborah Curtis. (2007)","A portrait of Ian Curtis, the enigmatic singer of Joy Division whose troubled life ultimately led him to suicide. Based on the memoirs of Deborah Curtis.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2850A001S00_60ab4af69dab7.jpg,Director Anton Corbijn,"['abc1', 'abc2', 'drama', 'film', 'feature-length', 'biography', 'music', 'period-drama', '1980s', 'emotional', 'inspirational', 'sad', 'revealing', 'somber', 'award-winning', 'critically-acclaimed', 'black-and-white', 'movie', 'a:older-sink-dink']",2021-06-01 07:00:00,MA,7000
8,Drama,The Hollow Crown,The Hollow Crown,Series 1 Episode 2 Henry IV Part 1,"The story of three kings, Richard II, Henry IV and Henry V and their battle for power and survival. Adapted from William Shakespeare's epic plays.","The King is threatened by a rebellion led by Hal's rival, Hotspur, his father Northumberland and his uncle Worcester. In the face of this danger to the state, Prince Hal joins his father to defeat the rebels.","['ABC TV Plus', 'DRAMA']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2794A002S00_6091d8841d9df_1280.jpg,"Cast Ben Whishaw, Tom Hiddleston, Jeremy Irons","['abc2', 'uk', 'drama', 'adaptation', 'period-drama', 'shakespeare', 'conspiracy', 'revenge', 'war', 'betrayal', 'compelling', 'intense', 'emotional', 'mini-series', 'all-star-cast', 'critically-acclaimed', 'a:older-sink-dink', 'a:retirees', 'a:young-sink-dink', 'ns:be-entertained']",2021-05-07 22:56:30,M,6898
9,Drama,Innocent,Innocent,Series 2 Episode 1,"After spending the last 5 years in prison for the murder of a 16-year-old boy, Sally Wright is now a free woman, but life in her hometown of Kendal has moved on.","DCI Mike Braithwaite reinvestigates the murder of 16-year-old schoolboy Matthew Taylor. Five years prior, the teacher convicted of killing him is found not guilty on appeal and released from prison.","['ABC TV', 'DRAMA']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2787A001S00_60ee2a1ccc73b_1280.jpg,"Cast Katherine Kelly, Jamie Bamber, Priyanga Burford, Shaun Dooley, Lucy Black","['abc1', 'uk', 'drama', 'crime-drama', 'mystery', 'suspense', 'thriller', 'murder', 'serial-killer', 'betrayal', 'hard-hitting', 'gritty', 'psychological', 'conspiracy', 'organised-crime', 'binge-worthy']",2021-07-18 20:30:00,M,2756
