,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
0,Education,I'm A Fish,I'm A Fish,Series 1 I'm An Octopus,"I'm a Fish features a variety of sea creatures who invite us into their underwater world. They tell us all sorts of fun and interesting facts about where they live, what they do and how they survive in such deep places! Early Stage 1 - Stage 1 Science and Technology.",We meet Octopus who explains that they are really smart and that they have very good senses. They use their ink cloud to defend themselves and distract predators who want to eat them.,"['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1255A018S00_5a27476b383e3.jpg,No more information found,"['abc3', '3nature', 'education', 'primary-maths']",2021-03-29 06:15:00,G,121
1,Education,Create,Create,Origami: Crane,"Release your inner artist with the help of our experts who will show you how to mould, fold, paint, braid, twirl and build. There's so many creative projects you can do at home with some simple materials and with your hands!",Check out how to create the classic origami crane and follow to make one of your own!,"['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1617V003S00_57e4caf6b7a79_1280.jpg,No more information found,"['abc3', '3make', 'me-prod', 'me-create', 'me-craft', 'childrens', 'family-viewing-abcme', 'primary-arts', 'education', 'kinderscreateorigami']",2019-11-03 06:03:00,G,69
2,Education,Advice To My 12 Year Old Self,Advice To My 12 Year Old Self,Series 1 Linda Burney,"A range of talented Australians, including some of our most well-known Indigenous stars, offer advice to their 12-year-old selves. Stages 4-5 PDHPE.","Linda Burney is a Labor politician, who is incredibly proud of how she represents the Indigenous community by displaying grace and kindness.","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1731V009S00_59d6e2b3a02c8_1280.jpg,No more information found,"['abc3', 'me-prod', 'education', 'primary-health', 'secondary-health', '3indigenous']",2020-06-14 06:05:00,G,160
3,Education,Advice To My 12 Year Old Self,Advice To My 12 Year Old Self,Series 1 Brianna Davey,"A range of talented Australians, including some of our most well-known Indigenous stars, offer advice to their 12-year-old selves. Stages 4-5 PDHPE.","Brianna Davey is an Australian sportswoman, who advises to really love what you do and not care about what others think.","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1731V019S00_59d6ed0c0d73e_1280.jpg,No more information found,"['abc3', 'me-prod', 'education', 'primary-health', 'secondary-health']",2020-06-14 06:05:00,G,116
4,Education,Australia's Prime Ministers,Australia's Prime Ministers,William McMahon,"This series profiles Australia's leaders, featuring career highlights and giving insights into the different eras in which they lead the nation. Stages 3-4 HSIE, English.","This series profiles Australia's leaders, featuring career highlights and giving insights into the different eras in which they lead the nation. This episode features William McMahon.","['ABC ME', 'EDUCATION', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/zx/ZX6423A020S00_59e6c0dadc401_1280.jpg,No more information found,"['education', 'abc3', 'docs', 'secondary-history', 'primary-humanities']",2022-02-28 09:00:00,G,183
5,Education,I'm A Fish,I'm A Fish,Series 1 I'm A Butterfly Fish,"I'm a Fish features a variety of sea creatures who invite us into their underwater world. They tell us all sorts of fun and interesting facts about where they live, what they do and how they survive in such deep places! Early Stage 1 - Stage 1 Science and Technology.",The Butterfly fish takes some time out from being good looking to tell us all about how they peck at coral with their long snouts for food and how he uses these good looks to confuse and camouflage himself to evade predators.,"['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1255A008S00_5a139498d3593.jpg,No more information found,"['abc3', '3nature', 'education', 'primary-maths']",2021-03-29 06:15:00,G,121
6,Education,The Storybuilding Tool Kit,The Storybuilding Tool Kit,Series 1 Episode 6 Book Report by Joel,Unlock the secrets of your favourite story genres. Create your own fantastic characters and send them on epic journeys! Stages 3-4 English,Joel reviews 'An Eagle in the Snow' by Michael Mapurgo.,"['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1730V006S00_59938abdea02b_1280.jpg,No more information found,"['abc3', 'me-prod', 'education', 'primary-english', 'secondary-english']",2020-03-18 06:00:00,G,96
7,Education,Mini Lessons: English,Mini Lessons: English,Series 1 Episode 18 Year 1: Writing a Narrative Text,"In these ten-minute lessons, Australian teachers teach fundamental skills in literacy.","In this lesson, you will learn how to write a narrative. Ms Sheddan demonstrates the important features of a narrative, and she provides the opportunity for you to write your own at home.","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ed/ED2004V018S00_5ee1581a1d764_1920.jpg,No more information found,"['abc3', 'education', 'primary-english']",2020-06-11 10:00:00,G,620
8,Education,Sally & Possum,Sally & Possum,Possum Breaks A Plate!,"Filled with fun new adventures, follow Sally and Possum as they explore, discover, and learn about the world around them using Australian Sign Language (Auslan). Early Stage 1 English","Uh, oh! Possum breaks one of Sally's plates and is worried she will be angry. He tries to put it back together. Sally says that it looks a bit like a jigsaw puzzle. What will that lead to?","['ABC Kids', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1183A008S00_5954596f966a9.jpg,No more information found,"['abc4kids', '4learn', '4sally-possum', 'education', 'primary-languages']",2021-07-25 06:05:30,G,870
9,Education,Create,Create,Painting: Blending,"Release your inner artist with the help of our experts who will show you how to mould, fold, paint, braid, twirl and build. There's so many creative projects you can do at home with some simple materials and with your hands!",Our artist shows how a bit of water can help blend some beautiful colours in your painting!,"['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1617V013S00_57e4c1f61232f_1280.jpg,No more information found,"['abc3', '3make', 'me-prod', 'me-create', 'me-craft', 'childrens', 'family-viewing-abcme', 'primary-arts', 'education', 'kinderscreatepainting']",2019-11-03 06:03:00,G,96
