,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
0,Family,The Dengineers,The Dengineers,Series 3 Witchcraft And Wizardry Den,Joe Tracini and Meryl Fernandes enlist expert designers and builders to construct dream dens for lucky youngsters.,"9 year old Kieran is a big fan of a certain wizard, and like his hero, he's had his life turned upside down. Kiran needs somewhere to escape, to let imaginations run wild and let his love of wizardry come to life.","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1508A012S00_5abc576157e85_1280.jpg,"Host Meryl Fernandes, Joe Tracini","['abc3', 'me-new-releases', '3real', '3family', 'childrens', 'family-viewing-abcme', 'family-viewing']",2022-03-08 16:01:36,G,1693
1,Family,PJ Masks,PJ Masks,Catboy And Master Fang's Sword,"When the city sleeps, Connor, Amaya & Greg's PJs magically transform the kids into superheroes - here comes Catboy, Owlette & Gekko! Watch out nighttime baddies - the PJ Masks are on their way, into the night to save the day!","Night Ninja has stolen Master Fang's prized sword and Catboy wants it back. But unlike his favourite Kung-Fu Master, Catboy has trouble staying calm and collected and will have to learn not to let his anger get in the way.","['ABC Kids', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1191A014S00_595ca6a3cc655.jpg,No more information found,"['abc4kids', '4upper', 'abcme-shoulder', '4featured', 'childrens', 'family-viewing']",2022-03-19 17:37:55,G,715
2,Family,The Penguins Of Madagascar,The Penguins Of Madagascar,Episode 5 Mental Hen/Thumb Drive,"Join Skipper, Kowalski, Rico and Private on their all-new adventures at Central Park Zoo. The brothers already have their flippers full whilst keeping their neighbourhood happy and then along comes party animal Julien.","Watching ninja movies has brainwashed Leonard the koala. While he sleeps he terrorises everyone by sleepfighting./ After realising that Maurice's thumbs could prove to be very useful, the penguins recruit him into their team.","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2080A005S00_5e8d1aabdd763_1280.jpg,No more information found,"['abc3', '3toons', '3comedy', '3featured', 'abc3-faves', 'childrens', 'family-viewing']",2022-03-25 08:00:02,G,1348
3,Family,Bluey (Mandarin),Bluey (Mandarin),Daddy Putdown,"Bluey is an inexhaustible six-year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination and her mental, physical and emotional resilience. (Mandarin)","Bluey is an inexhaustible six-year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination and her mental, physical and emotional resilience. (Mandarin)","['ABC Kids', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2653A045S00_61ea31e15678b_1280.jpg,No more information found,"['abc4kids', 'childrens', 'mandarin', 'family-viewing']",2022-02-01 06:04:00,G,420
4,Family,What's For Dinner?,What's For Dinner?,At Jemma's Place,"With a big spoonful of creativity, a pinch of tradition and a dash of fun - these Australian families have all the ingredients they need to answer the all-important question...What's For Dinner? Early Stage 1 History",Welcome to Jemma's farm! They say you can't make an omelette without cracking a few eggs and boy would they be right! Join Jemma at her family's egg farm as they enjoy a meal from paddock to plate. Anyone for a mini doughnut?,"['ABC ME', 'EDUCATION', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1805V004S00_5b1f1f8e2d4bc_1280.jpg,No more information found,"['abc3', 'me-prod', '3family', 'childrens', 'education', 'primary-humanities', 'family-viewing-abcme', 'family-viewing']",2021-06-02 10:05:00,G,511
5,Family,Odd Squad,Odd Squad,Series 2 The Movie: Part Three,"The Odd Squad Mobile Unit is back for more global adventures! From Paris, to Chicago, to Singapore, the team will travel the world in search of anything strange, weird, and especially odd.","When a group of adults run Odd Squad out of business, the agents are forced to become regular kids again until something very odd happens.","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW0766A025S00_5a04f28c84819_1280.jpg,"Cast Alyssa Hidalgo, Gavin MacIver-Wright, Glee Dango, Jayce Alexander, Shazdeh Kapadia","['abc3', '3shoulder', '3tween', '3learn', '3oddsquad', 'abc3-faves', 'childrens', 'family-viewing-abcme', 'kindersolder', 'entertainment', 'investigation', 'adventure', 'explore', 'learn', 'mystery', 'funny', 'family-viewing']",2021-09-01 07:00:00,G,1342
6,Family,Nowhere Boys,Nowhere Boys,Series 3 Episode 10 Unwanted Visitors,Follow the action-packed adventure of four teenage boys who return from a school excursion to discover they're stuck in a parallel world into which they were never born.,"The Mini Demons come to Bremin High and cause havoc. Our gang catch them and keep them in their school bags, but they exert a negative influence over the gang - can Ben 2 stop them before it's too late?","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH1509V010S00_585cb5a5adad2.jpg,"Cast Dougie Baldwin, Joel Lok, Matt Testro, Rahart Sadiqzai","['abc3', '3drama', '3teen', '3supernatural', 'abc3-faves', '3featured', 'me-onboard', '3indigenous', 'family-viewing']",2021-10-17 06:53:00,PG,1576
7,Family,Kiri and Lou,Kiri and Lou,Yum Yum Baronies,"Kiri and Lou follows the adventures of Kiri, a feisty little dinosaur with overpowering emotions and Lou, a gentle but thoughtful creature. Each story is about the friendship of two prehistoric creatures and their adventures.","Kiri and Lou are going to have a feast of their favourite fruit - yum yum baronies, but Lou loses control and eats them all before Kiri can have any.","['ABC Kids', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2000A002S00_5d084ddbd2240.jpg,No more information found,"['abc4kids', '4quirky', 'childrens', 'dinosaurs', 'animation', 'explore', 'friendship', 'creatures', 'play', 'feel-good', 'happy', 'preschool', 'lower', 'primary', 'family-viewing', 'abcme-shoulder']",2019-08-11 17:57:03,G,300
8,Family,Kiri and Lou,Kiri and Lou,The Something Something,"Kiri and Lou follows the adventures of Kiri, a feisty little dinosaur with overpowering emotions and Lou, a gentle but thoughtful creature. Each story is about the friendship of two prehistoric creatures and their adventures.","Kiri and Lou decide to take Pania a giant fruit for a present. But as they bring it to her, they can't resist having a taste of it. And another. And another.","['ABC Kids', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2000A012S00_5d11849d59a18.jpg,No more information found,"['abc4kids', '4quirky', 'childrens', 'dinosaurs', 'animation', 'explore', 'friendship', 'creatures', 'play', 'feel-good', 'happy', 'preschool', 'lower', 'primary', 'family-viewing', 'abcme-shoulder']",2019-08-21 17:57:30,G,300
9,Family,Further Back In Time For Dinner,Further Back In Time For Dinner,Episode 1 The 1900s,"An ordinary family travels back in time 120 years to immerse themselves in five decades of Australian history. Annabel Crabb guides the Ferrone family through history as they cook, eat and live, from Federation to the 1940s.","Annabel Crabb and the Ferrone family return to immerse themselves in the past. The Ferrones are transported back to the 1900s where they cook, eat and live through stringent gender roles, school and Federation.","['ABC TV', 'DOCUMENTARY', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1913H001S00_5f332b2736af7.jpg,Host Annabel Crabb,"['abc1', 'docs', 'annabel-crabb', 'docueseries', 'entertainment', 'home', 'food-cooking', 'history', 'nostalgia', 'culture', 'period', 'feel-good', 'real-life', 'culture-clash', 'a:established-parents', 'a:home-duties', 'a:older-sink-dink', 'a:retirees', 'ns:be-entertained', 'australia', 'family-viewing']",2020-09-01 21:32:36,PG,3493
