,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
0,Movies,The Way We Were,No data found,The Way We Were,"A love story that begins with the attraction of opposites, Katie and Hubbell fall in love with each other but soon realise that the things important to them in life are pulling them apart. (1973)","A love story that begins with the attraction of opposites, Katie and Hubbell fall in love with each other but soon realise that the things important to them in life are pulling them apart.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zy/ZY9332A001S00_60c158d038bb3_1920.jpg,Director Sydney Pollack,"['abc1', 'abc2', 'drama', 'classic', 'film', 'feature-length', 'romance', 'love', 'relationships', 'nostalgia', 'emotional', 'sad', 'somber', 'heartfelt', 'culture-clash', 'adaptation', 'strong-female-lead', 'all-star-cast', 'a:retirees', 'a:older-sink-dink', 'ns:be-entertained', 'usa']",2021-06-25 07:00:00,PG,6802
1,Movies,Starman,No data found,Starman,"An alien stranded on Earth clones himself into the form of a young woman's deceased husband, kidnapping her as he attempts to reunite with his spacecraft to make his way home. (1984)","An alien stranded on Earth clones himself into the form of a young woman's deceased husband, kidnapping her as he attempts to reunite with his spacecraft to make his way home.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3016A001S00_60c15c7beb10f_1920.jpg,Director John Carpenter,"['abc1', 'abc2', 'drama', 'sci-fi', 'fantasy', 'romance', 'love', 'film', 'feature-length', 'classic', 'emotional', 'psychological', 'nostalgia', 'suspense', 'unlikely-romance', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:be-entertained', 'usa']",2021-06-25 07:00:00,PG,6612
2,Movies,Mr Deeds Goes To Town,No data found,Mr Deeds Goes To Town,A small-town poet inherits a vast fortune and finds himself in New York City where he is faced with the corruption of city life and people whose motivations are not what they seem. (1936),A small-town poet inherits a vast fortune and finds himself in New York City where he is faced with the corruption of city life and people whose motivations are not what they seem.,"['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3025A001S00_60c14e5bceebb_1920.jpg,"Cast Gary Cooper, Jean Arthur, Douglas Dumbrille, Lionel Stander, George Bancroft","['abc1', 'abc2', 'drama', 'comedy-drama', 'film', 'feature-length', '1930s', 'classic', 'adaptation', 'romance', 'scandal', 'rom-com', 'emotional', 'relationships', 'love', 'nostalgia', 'black-and-white', 'a:older-sink-dink', 'a:retirees', 'ns:be-entertained', 'usa']",2021-06-25 07:00:00,G,6649
3,Movies,On The Road,No data found,On The Road,Aspiring writer Sal Paradise has his world rocked following the introduction of free spirit Dean Moriarty and his captivating bride Marylou. The trio embark on a cross-country quest for personal freedom. (2012),Aspiring writer Sal Paradise has his world rocked following the introduction of free spirit Dean Moriarty and his captivating bride Marylou. The trio embark on a cross-country quest for personal freedom.,"['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2911A001S00_609b9aa2da3be_1920.jpg,Director Walter Salles,"['abc1', 'abc2', 'usa', 'drama', 'adaptation', 'adventure', 'romance', '1940s', 'north-america', 'coming-of-age', 'friendship', 'marriage', 'relationships', 'road-trip', 'feature-length', 'film', 'critically-acclaimed', 'movie', 'a:established-parents', 'a:older-sink-dink', 'a:retirees', 'a:working-parents', 'a:young-adults', 'ns:be-entertained', 'ns:relieve-boredom', 'sex', 'unlikely-romance']",2021-06-01 07:00:00,MA,8014
4,Movies,The Boys Are Back,No data found,The Boys Are Back,"Journalist Joe Warr and his two sons, from different marriages, find themselves living in a boys-only household following the death of Joe's second wife. A humorous journey from part-time dad to full-on fatherhood. (2009)","Journalist Joe Warr and his two sons, from different marriages, find themselves living in a boys-only household following the death of Joe's second wife. A humorous journey from part-time dad to full-on fatherhood.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2380A001S00_5ee1d17b30837_1280.jpg,Director Scott Hicks,"['abc1', 'abc2', 'drama', 'comedy-drama', 'film', 'single-parent-family', 'relationship-drama', 'lighthearted', 'funny', 'a:older-sink-dink', 'a:retirees', 'a:working-parents', 'a:young-sink-dink', 'ns:be-entertained', 'australia', 'charming', 'emotional', 'movie']",2021-06-11 07:00:00,M,5950
5,Movies,On A Clear Day,No data found,On A Clear Day,"Frank determines to salvage his self-esteem and tackle his demons by attempting the ultimate test of endurance, swimming the English Channel. (2004)","Frank determines to salvage his self-esteem and tackle his demons by attempting the ultimate test of endurance, swimming the English Channel.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2910A001S00_609c85a181602_1280.jpg,Director Gaby Dellal,"['abc1', 'abc2', 'uk', 'drama', '2000s', 'family', 'countryside', 'coast', 'love', 'emotional', 'endearing', 'feel-good', 'inspirational', 'friendship', 'mental-health', 'wellbeing', 'family-relationship', 'feature-length', 'film', 'movie', 'a:established-parents', 'a:older-sink-dink', 'a:retirees', 'a:working-parents', 'a:young-adults', 'ns:be-inspired', 'ns:be-uplifted', 'ns:be-entertained', 'swimming', 'health']",2021-06-01 07:00:00,PG,5649
6,Movies,Secret Men's Business,No data found,Secret Men's Business,"Four former private school boys' reunite to attend the funeral of their beloved but mysterious school master. The weekend of sun, surf, women and late-night reminiscing leads to hard truths that had long been left behind. (1999)","Four former private school boys' reunite to attend the funeral of their beloved but mysterious school master. The weekend of sun, surf, women and late-night reminiscing leads to hard truths that had long been left behind.","['ABC TV', 'DRAMA', 'COMEDY', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/dr/DR9812H001S00_60c93ef594e32_1920.jpg,Director Ken Cameron,"['abc1', 'australia', 'drama', 'comedy', 'film', '1990s', 'sydney', 'beach', 'coast', 'sex', 'tragedy', 'aussie', 'gritty', 'moody', 'family-dysfunction', 'slow-burn', 'coming-of-age', 'death', 'friendship', 'a:established-parents', 'a:older-sink-dink', 'a:retirees', 'ns:be-entertained', 'feature-length']",2021-06-25 07:00:00,M,5768
7,Movies,Another Year,No data found,Another Year,"Follow happily-married couple Tom and Gerri and their friends and family over four seasons, as they negotiate life with kindness, love and good cheer. (2010)","Follow happily-married couple Tom and Gerri and their friends and family over four seasons, as they negotiate life with kindness, love and good cheer.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2848A001S00_609c6c3177ffa_1920.jpg,Director Mike Leigh,"['abc1', 'abc2', 'drama', 'comedy-drama', 'relationships', 'romance', 'heartfelt', 'emotional', 'somber', 'love', 'marriage', 'indie', 'slow-burn', 'award-winning', 'critically-acclaimed', 'film', 'feature-length', 'movie', 'a:established-parents', 'a:retirees', 'a:older-sink-dink', 'a:working-parents', 'a:young-sink-dink', 'ns:be-entertained', 'ns:bond', 'uk']",2021-06-01 07:00:00,M,7426
8,Movies,Stand By Me,No data found,Stand By Me,"After learning that a stranger has been accidentally killed near their rural homes, four young boys decide to go see the body. What seems like a lark at first soon turns out to be a defining moment in their lives. (1986)","After learning that a stranger has been accidentally killed near their rural homes, four young boys decide to go see the body. What seems like a lark at first soon turns out to be a defining moment in their lives.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3006A001S00_60c19ee692c31.jpg,Director Rob Reiner,"['abc1', 'abc2', 'drama', 'coming-of-age', 'film', 'feature-length', 'crime', 'emotional', 'friendship', 'childhood', 'teen', 'nostalgia', 'moody', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:be-entertained', 'classic']",2021-07-01 07:00:00,M,5092
9,Movies,The Sorcerer and the White Snake,No data found,The Sorcerer and the White Snake,"A master monk tries to protect a naive young physician from a thousand-year-old snake demon. A contest of psychic powers results in mayhem. Starring international action legend, Jet Li. (2011)","A master monk tries to protect a naive young physician from a thousand-year-old snake demon. A contest of psychic powers results in mayhem. Starring international action legend, Jet Li.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2873A001S00_60b43e5d16b89_1280.jpg,Director Siu-Tung Ching,"['abc1', 'abc2', 'action', 'drama', 'fantasy', 'romance', 'film', 'period-drama', 'martial-arts', 'china', 'hong-kong', 'violent', 'edge-of-your-seat', 'fast-paced', 'visual-effects', 'a:young-adult', 'a:younger-sink-dink', 'ns:be-entertained', 'cald', 'diversity']",2021-06-01 07:00:00,M,5876
