,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
0,News,Foreign Correspondent,Foreign Correspondent,Series 2021 China's Future,Australia's leading international current affairs program uncovers the stories and people whose personal struggles and triumphs help to explain the big picture - told through compelling storytelling and rich cinematography.,Three young people. Three stories of living differently in China. This generation is richer than their parents but the pressure to achieve and fit in is heavy. They're finding their own way to rebel in search of identity.,"['ABC TV', 'ABC NEWS']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2110H025S00_614aceaf975bb_1920.jpg,No more information found,"['abc1', 'news', 'news24', 'current-affairs', 'international-affairs', 'world-news', 'investigative-reporting', 'investigation', 'informative', 'revealing', 'challenging', 'cald', 'diversity', 'china', 'cald', 'culture', 'real-life', 'relationships', 'family', 'culture-clash', 'diversity']",2021-09-23 20:31:30,No data found,2009
1,News,Foreign Correspondent,Foreign Correspondent,Series 2019 Mother Courage - Rwanda,Australia's leading international current affairs program uncovers the stories and people whose personal struggles and triumphs help to explain the big picture - told through compelling storytelling and rich cinematography.,The inspirational women of Rwanda who have turned pain into hope. They lived through one of the worst atrocities of the 20th century but the power of love and family saved them.,"['ABC TV', 'ABC NEWS']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC1926H018S00_5d7f281274f71_1280.jpg,No more information found,"['abc1', 'news', 'news24', 'current-affairs', 'current', 'events', 'international-affairs', 'investigative-reporting', 'featured']",2019-12-19 17:00:00,No data found,1808
2,News,Heywire,Heywire,"Series 2020 Heywire winner Brianna from Broome, WA",Heywire is young regional Australians telling it like it is. They share candid and courageous stories about life outside the big cities.,Nineteen eye operations to be able to see the world.,['ABC NEWS'],https://cdn.iview.abc.net.au/thumbs/i/ra/RA2003H005S00_5f34e2491a178_1280.jpg,No more information found,"['news', 'news24', '\nc:intl-regional', 'short']",2020-08-17 17:57:00,G,135
3,News,Australian Story,Australian Story,Series 2021 Saving MG99,"Putting the 'real' back into reality TV, the award-winning series with no narrator and no agendas, just authentic stories told in people's own words. For 26 years we have been telling the stories of extraordinary Australians.","A daring sea rescue led by the Australian Navy saved 99 people from certain death. Forty years later, the survivors meet their saviours in an emotional reunion.","['ABC TV', 'ABC NEWS', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2102Q022S00_6115e83bc19c0_1920.jpg,No more information found,"['abc1', 'australia', 'news', 'docs', 'factual', 'current-affairs', 'monday-night', 'investigative-reporting', 'informative', 'people', 'culture', 'diversity', 'biography', 'revealing', 'compelling', 'emotional', 'a:retirees', 'a:established-parents', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:be-inspired', 'ns:understand']",2021-08-23 20:31:30,No data found,1856
4,News,The Virus,The Virus,Friday 4/3/2022,"Your one-stop weekly program keeping you up to date with everything you need to know about COVID-19. From healthcare, the economy, staff shortages, schools, vaccines, testing and isolation. Presented by Jeremy Fernandez.","The rate of COVID vaccination among Australian children has stalled, prompting warnings the virus is not always mild among minors. Host Norman Swan and leading health experts discuss why so many children haven't got the jab.",['ABC NEWS'],https://cdn.iview.abc.net.au/thumbs/i/nc/NC2226H005S00_6221a6d75ce73_1920.jpg,Host Jeremy Fernandez,"['news', 'news24', 'best-news24']",2022-03-04 20:00:00,No data found,900
5,News,ABC News WA,ABC News WA,Thursday 31/3/2022,"News from where you live. ABC News WA brings you today's top stories, exclusive investigations and original reporting on the issues that matter to you. Presented by Pamela Medlen (Mon-Thu) and Briana Shepherd (Fri-Sun).","News from where you live. ABC News WA brings you today's top stories, exclusive investigations and original reporting on the issues that matter to you. Presented by Pamela Medlen (Mon-Thu) and Briana Shepherd (Fri-Sun).","['ABC TV', 'ABC NEWS']",https://cdn.iview.abc.net.au/thumbs/i/nu/NU2208W_61b82d0ba26cd.jpg,No more information found,"['abc1', 'news', 'news24', 'bulletin', 'state-news']",2022-03-31 22:30:00,No data found,1800
6,News,Australian Story,Australian Story,Series 2021 The Last Hurdle,"Putting the 'real' back into reality TV, the award-winning series with no narrator and no agendas, just authentic stories told in people's own words. For 26 years we have been telling the stories of extraordinary Australians.","Athlete, mother of four and reality TV star Jana Pittman talks about her new life as a doctor and her regrets about the period when she was labelled 'Drama Jana'.","['ABC TV', 'ABC NEWS', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2102Q032S00_6178d9a5c4019_1920.jpg,No more information found,"['abc1', 'australia', 'news', 'docs', 'factual', 'current-affairs', 'monday-night', 'investigative-reporting', 'informative', 'people', 'culture', 'diversity', 'biography', 'revealing', 'compelling', 'emotional', 'a:retirees', 'a:established-parents', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:be-inspired', 'ns:understand', 'sport', 'athletics', 'revealing']",2021-11-01 20:31:30,No data found,1920
7,News,ABC News Stories,ABC News Stories,Hannah Clarke inquest probes police role in domestic violence cases,"Watch some of the special features, stories, interviews and explainers produced by ABC News to bring you a clearer understanding of the issues and events that affect you.",The inquest into the murders of a Brisbane woman and her three children by her estranged husband is probing whether police could have done more to protect the family in the weeks before.,['ABC NEWS'],https://live-production.wcms.abc-cdn.net.au/e2608aa40b161234075dd794e012abc2?impolicy=wcms_crop_resize&cropH=576&cropW=1023&xPos=0&yPos=0&width=862&height=485,No more information found,"['news', 'news24', 'queensland']",2022-03-30 08:22:07,No data found,140
8,News,China Tonight,China Tonight,Monday 28/3/2022,"Stan Grant and Yvonne Yong take a fresh look at news from inside China. We go beyond the headlines of trade wars and global posturing to bring you stories of China's rise in the world, and the changes and challenges at home.","China's military deal with the Solomon Islands, the investigation into the China Eastern plane crash, Jinghua Qian examines China's shifting attitudes towards mental health and Brendan Wan looks at the new generation of wine makers putting Chinese wine on the map.",['ABC NEWS'],https://cdn.iview.abc.net.au/thumbs/i/nc/NC2215H_621460780afbf.jpg,"Hosts Stan Grant, Yvonne Yong","['news', 'news24', 'current-affairs', 'politics', 'world-news', 'factual', 'china', 'asia-pacific', 'informative', 'a:older-sink-dink', 'a:established-parents', 'ns:understand', 'ns:be-informed', 'australia']",2022-03-28 21:36:00,No data found,1800
9,News,Foreign Correspondent,Foreign Correspondent,Series 2019 Climate Hackers,Australia's leading international current affairs program uncovers the stories and people whose personal struggles and triumphs help to explain the big picture - told through compelling storytelling and rich cinematography.,"They sound like science fiction, but radical remedies to slow global warming are on the way. Eric Campbell goes in search of crazy brave ideas to save the world.","['ABC TV', 'ABC NEWS']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC1926H008S00_5c6ca47d85bd5_1280.jpg,No more information found,"['abc1', 'news', 'news24', 'current-affairs', 'current', 'events', 'international-affairs', 'investigative-reporting', 'featured', 'your-planet', 'climate', 'weather', 'environment', 'science', 'global-warming', 'climate-change']",2019-12-19 17:00:00,No data found,1699
10,News,Four Corners (Simplified Chinese Subtitles),Four Corners (Simplified Chinese Subtitles),Series 2019 Interference,"Four Corners is Australia's premier investigative journalism program. Since 1961, the Four Corners team has been exposing scandals, triggering inquiries, firing debate and confronting taboos.","Australia's premier television current affairs program, presented by Sarah Ferguson. Four Corners has been part of the national story since 1961, exposing scandals, triggering inquiries, firing debate and confronting taboos. This program includes simplified Chinese language subtitles.",['ABC TV'],https://cdn.iview.abc.net.au/thumbs/i/iv/IV1846H010S00_5cc91d5ad8fc8_1280.jpg,No more information found,"['abc1', 'news', 'four-corners']",2020-02-17 18:00:00,No data found,2762
11,News,ABC News TAS,ABC News TAS,Wednesday 30/3/2022,"News from where you live. ABC News Tasmania brings you today's top stories, exclusive investigations and original reporting on the issues that matter to you. Presented by Guy Stayner (Mon-Fri) and Alexandra Alvaro (Sat-Sun).","News from where you live. ABC News Tasmania brings you today's top stories, exclusive investigations and original reporting on the issues that matter to you. Presented by Guy Stayner (Mon-Fri) and Alexandra Alvaro (Sat-Sun).","['ABC TV', 'ABC NEWS']",https://cdn.iview.abc.net.au/thumbs/i/nu/NU2203T076S00_623132712e65a_1920.jpg,No more information found,"['abc1', 'news', 'news24', 'bulletin', 'state-news']",2022-03-30 19:30:00,No data found,1800
12,News,Unsung Secrets,Unsung Secrets,Series 1 Episode 2 Australia's Invention Spree,"Short, surprising stories to celebrate National Science Week, from the team at ABC Science.",The early years of World War II saw an unusual - and officially sanctioned - spike in Aussie innovation. Technology reporter Ariel Bogle shares her Unsung Secret.,"['ABC TV', 'ABC NEWS', 'REGIONAL AUSTRALIA', 'DOCUMENTARY', 'SCIENCE']",https://cdn.iview.abc.net.au/thumbs/i/sq/SQ1801H002S00_5b74c5baec43e_1280.jpg,No more information found,"['abc1', 'news', 'regional', 'docs', 'science', 'technology', 'short']",2018-08-16 09:00:00,G,130
13,News,Australian Story,Australian Story,Series 2018 Close Contact,"Putting the 'real' back into reality TV, the award-winning series with no narrator and no agendas, just authentic stories told in people's own words. For 26 years we have been telling the stories of extraordinary Australians.","Two boys from rival schools suffer catastrophic spinal damage on the Rugby field, ending up in hospital together. As they contemplate possible quadriplegia they discover a strength of character far beyond their years.","['ABC TV', 'ABC NEWS', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC1802Q032S00_5bf1f3349b753_1280.jpg,No more information found,"['abc1', 'australia', 'news', 'docs', 'factual', 'current-affairs', 'monday-night', 'investigative-reporting', 'informative', 'people', 'culture', 'diversity', 'biography', 'revealing', 'compelling', 'emotional', 'a:retirees', 'a:established-parents', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:be-inspired', 'ns:understand']",2019-02-15 07:00:00,No data found,1837
14,News,7.30 Mark Humphries Satire,7.30 Mark Humphries Satire,Behind the scenes of the India travel ban,Satirist Mark Humphries brings his unique perspective on current political events for 7.30.,Satirist Mark Humphries goes inside the Health Minister's office following the government's announcement it would be fine or jail Australians trying to return from India.,['ABC NEWS'],https://cdn.iview.abc.net.au/thumbs/i/nn/NN2110H007S00_609a049b2f42f_1920.jpg,No more information found,"['news24', 'news', 'satire']",2021-05-11 14:00:00,No data found,145
15,News,Four Corners,Four Corners,Series 2010 Episode 56 A Bloody Business,"The longest running show on Australian TV, this award-winning current affairs documentary series is a powerhouse of investigative journalism - fearless and forensic, holding power to account through six decades and counting.","In this explosive episode, Sarah Ferguson exposes the truth about one of Australia's major export industries.","['ABC TV', 'ABC NEWS']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC1004H035S00_6114b132cc08a_1920.jpg,No more information found,"['abc1', 'news', 'newscaff', 'current-affairs']",2021-08-16 07:00:00,No data found,2744
16,News,Lost In Translation: Understanding Japan,Lost In Translation: Understanding Japan,Being a woman in Japan,"Japan is a fascinating country. Rich in history, steeped in tradition, an economic powerhouse and a leader in cutting-edge technology. But not every cliche about Japan is accurate and sometimes our views on life in Japan get lost in translation.","From rules about high heels in the office, to the lack of female representation in high office or the boardroom, Japan's traditional ways sometimes sees it lag behind so many other countries who've come to terms with the gender balance.",['ABC NEWS'],https://cdn.iview.abc.net.au/thumbs/i/nn/NN2120H003S00_60f4bd26d0b1b_1920.jpg,No more information found,"['news', 'news24']",2021-07-19 07:00:00,No data found,231
17,News,The Business,The Business,Thursday 31/3/2022,"Australia's leading daily business and finance show, bringing you up to date on market moves, economic trends and the forces affecting consumers, employees and business owners big and small. Presented by Kathryn Robinson (Mon-Wed) and Alicia Barry (Thu).","A damning Senate inquiry has slammed wage theft in Australia as 'systemic, sustained and shameful'. Plus the nation risks being left behind in the multi-billion-dollar electric vehicle market. Presented by Alicia Barry.",['ABC NEWS'],https://cdn.iview.abc.net.au/thumbs/i/nc/NC2206H_61f21b566c86c.jpg,No more information found,"['news', 'news24', 'finance', 'news-analysis']",2022-03-31 21:45:00,No data found,900
18,News,Australian Story,Australian Story,Series 2018 Out Of The Woods,"Putting the 'real' back into reality TV, the award-winning series with no narrator and no agendas, just authentic stories told in people's own words. For 26 years we have been telling the stories of extraordinary Australians.",From a homeless alcoholic living in the wild to academic success and a book deal - the amazing comeback story of forest dweller Gregory Smith.,"['ABC TV', 'ABC NEWS', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC1802Q022S00_5b8c7553975e2_1280.jpg,No more information found,"['abc1', 'australia', 'news', 'docs', 'factual', 'current-affairs', 'monday-night', 'investigative-reporting', 'informative', 'people', 'culture', 'diversity', 'biography', 'revealing', 'compelling', 'emotional', 'a:retirees', 'a:established-parents', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:be-inspired', 'ns:understand']",2019-02-15 07:00:00,No data found,1782
19,News,Foreign Correspondent,Foreign Correspondent,"Series 2020 No Justice, No Peace",Australia's leading international current affairs program uncovers the stories and people whose personal struggles and triumphs help to explain the big picture - told through compelling storytelling and rich cinematography.,"What began as a hashtag over seven years ago has transformed into a global movement for justice for black people. Sally Sara reports on #BlackLivesMatter, the force galvanising rage and grief sparked by George Floyd's death.","['ABC TV', 'ABC NEWS']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2026H018S00_5ee6f2bcefdb1_1280.jpg,No more information found,"['abc1', 'news', 'news24', 'current-affairs', 'current', 'events', 'international-affairs', 'investigative-reporting', 'featured']",2020-06-16 20:31:59,No data found,1753
20,News,Wildflowers Of The Midwest Of WA,No data found,Wildflowers Of The Midwest Of WA,"WA's outback has come to life with a kaleidoscope of colours! ABC filmmaker Chris Lewis brings the seasonal wildflowers, stories and characters of the Midwest to the world in a unique visual style.","WA's outback has come to life with a kaleidoscope of colours! ABC filmmaker Chris Lewis brings the seasonal wildflowers, stories and characters of the Midwest to the world in a unique visual style.","['ABC TV', 'ABC NEWS', 'REGIONAL AUSTRALIA']",https://cdn.iview.abc.net.au/thumbs/i/rf/RF2109W001S00_61b2859d2add1_3600.jpg,No more information found,"['abc1', 'news', 'news24', 'regional', 'western-australia', 'factual', 'natural-world', 'environment', 'bushland', 'wilderness', 'travel', 'informative', 'short']",2021-12-10 07:00:00,PG,1680
