,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
0,Panel Discussion,Spicks And Specks,Spicks And Specks,"Series 9 Missy Higgins, Dave O'Neil, Yeo & Judith Lucy","Join Adam Hills, Myf Warhurst and Alan Brough for a brand new series of your favourite music quiz show. There'll be new games, fantastic live music and, as always, you can play along with all your old favourites.","Missy Higgins and Dave O'Neil help Alan battle it out with Yeo and Judith Lucy on team Myf for music knowledge glory. On the way they discuss Air Supply, mothers groups, bats, poltergeist detectors and expletive laden rants.","['ABC TV', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/le/LE2002V_606ea7cf0502d_1280.jpg,"Hosts Adam Hills, Myf Warhurst, Alan Brough","['abc1', 'australia', 'panel', 'music', 'culture', 'entertainment', 'cult-favourite', 'lighthearted', 'witty', 'quirky', 'funny', 'feel-good', 'a:young-sink-dink', 'a:working-parents', 'a:older-sink-dink', 'a:established-parents', 'ns:be-entertained', 'pop-culture']",2021-06-20 20:27:00,PG,2701
1,Panel Discussion,Would I Lie To You?,Would I Lie To You?,Series 13 Episode 4,"Rob Brydon is back in the host's chair for another season of the award-winning comedy panel show, with Lee Mack and David Mitchell returning as the lightning-quick team captains.","Host Rob Brydon and team captains Lee Mack and David Mitchell are joined by Greg Davies, Guz Khan, Claudia Winkleman and Lucy Worsley.","['ABC TV Plus', 'COMEDY', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2134A004S00_5e8d646aa9b96.jpg,Host Rob Brydon,"['abc2', 'uk', 'comedy', 'panel', 'entertainment', 'cult-favourite', 'lighthearted', 'witty', 'quirky', 'funny', 'game-show', 'quiz-show', 'pop-culture']",2022-02-08 20:30:35,PG,1737
2,Panel Discussion,Whovians,Whovians,Series 3 Episode 9,"Join Rove McManus, Tegan Higginbotham and Bajo - alongside a rotating roster of celebrity Doctor Who superfans, as they sit down to unpack the secrets and celebrate their love of Doctor Who.","Rove McManus, Tegan Higginbotham and Bajo are joined by Angharad Yeo, Luke McGregor and Andrew Hansen to wrap their heads around the explosive series finale of Doctor Who Series 12: The Timeless Children. (Season Final)","['ABC TV Plus', 'COMEDY', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1919H_5f4df9a155074_1280.jpg,"Hosts Rove McManus, Tegan Higginbotham, Steven O'Donnell","['abc2', 'aussie', 'comedy', 'panel', 'entertainment', 'quirky']",2020-03-05 21:38:00,PG,2090
3,Panel Discussion,Mock The Week,Mock The Week,Series 20 Episode 13 End of Year Special,"Fast-tracked from the UK, the show combining the best elements of panel show, stand-up and improvised games with two teams of comedians taking a satirical swipe at the news and world events.","Dara O'Briain and Hugh Dennis are joined by an array of guests in a special edition of the show, featuring a look back at the year gone by as well as outtakes and all the usual fun.","['ABC TV Plus', 'COMEDY', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2791A013S00_61b82b2de7600.jpg,"Hosts Dara O'Briain, Hugh Dennis","['abc2', 'uk', 'comedy', 'panel', 'entertainment', 'cult-favourite', 'lighthearted', 'witty', 'quirky', 'funny', 'irreverent', 'pop-culture']",2021-12-30 20:29:58,M,1850
4,Panel Discussion,You Can't Ask That (Simplified Chinese Subtitles),You Can't Ask That (Simplified Chinese Subtitles),Series 5 Episode 5 HIV Positive,Asking the most outrageous and uncomfortable questions to uncover the truth behind what it's like for marginalised and misunderstood Australians.,Eight people talk about what it's really like to live with HIV. While the disease is no longer life-threatening - or even contagious - with the right medication the fear and stigma it still carries for many is life changing.,['ABC TV'],https://cdn.iview.abc.net.au/thumbs/i/iv/IV2103H005S00_601a3e89432c0_1280.jpg,No more information found,"['iview', 'docs', 'abc1']",2021-02-05 07:00:00,M,1907
5,Panel Discussion,Gruen,Gruen,Series 13 Episode 1,"The Gruen team decode and expose all the messaging we fall for. Whether it's a juice label that thinks it's your long lost best friend or a gorgeous white line design on a Kmart plate, nothing will escape the Gruen gaze.","We return with a jab at the vaccine rollout. The Pitch gets a shot in the arm, and The Simpsons are on the catwalk for Balenciaga - as if they need the D'oh. Wil is joined by Todd, Russel, Dee Madigan and Sunita Gloster.","['ABC TV', 'COMEDY', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/le/LE2127H_614ad74407882_3600.jpg,Host Wil Anderson,"['abc1', 'comedy', 'panel', 'talk-show', 'quiz-show', 'quirky', 'lighthearted', 'satire', 'parody', 'funny', 'witty', 'offbeat', 'irreverent', 'entertainment', 'pop-culture', 'cult-favourite', 'australia']",2021-10-13 20:31:12,MA,2145
6,Panel Discussion,QI,QI,Series 20 Episode 9 'S' Animals,"Sandi Toksvig hosts the return of the quiz with a difference, in which the questions are so difficult points are awarded for the answers she finds most interesting. This time, it's the letter 'S' under scrutiny.","Join Sandi Toksvig, Alan Davies, Cally Beaton, Jamali Maddix and Josh Widdicombe for a look at animals which begin with the letter S.","['ABC TV', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3211A009S00_6226bd190e685.jpg,Host Sandi Toksvig,"['abc1', 'uk', 'panel', 'entertainment', 'cult-favourite', 'lighthearted', 'witty', 'quirky', 'funny', 'game-show', 'quiz-show', 'pop-culture', 'a:young-sink-dink', 'a:working-parents', 'a:older-sink-dink', 'a:retirees', 'ns:be-entertained']",2022-03-23 21:25:20,M,1767
7,Panel Discussion,Mock The Week,Mock The Week,Series 20 Episode 3,"Fast-tracked from the UK, the show combining the best elements of panel show, stand-up and improvised games with two teams of comedians taking a satirical swipe at the news and world events.","Dara O'Briain and Hugh Dennis look back on the last seven days in the company of guests Maisie Adam, Angela Barnes, Rhys James, Robin Morgan and Ahir Shah.","['ABC TV Plus', 'COMEDY', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2791A003S00_60b723c5bdb3d_1920.jpg,"Hosts Dara O'Briain, Hugh Dennis","['abc2', 'uk', 'comedy', 'panel', 'entertainment', 'cult-favourite', 'lighthearted', 'witty', 'quirky', 'funny', 'irreverent', 'pop-culture']",2021-11-11 07:00:00,M,1846
8,Panel Discussion,Gruen Pitch,Gruen Pitch,Series 12 Episode 4,The Pitch take us into the thinking of the people whose work is changing our minds and behaviours. A show about why we buy and how we are sold.,"This week, The Pitch cancels and uncancels cancel culture.","['ABC TV', 'COMEDY', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/lr/LR2028H004S00_5fa38e5f0acd8_1920.jpg,Host Wil Anderson,"['abc1', 'aussie', 'comedy', 'entertainment', 'panel', 'gruen', 'all-episodes', 'pitch', 'short']",2020-11-06 21:15:00,M,278
9,Panel Discussion,You Can't Ask That,You Can't Ask That,Series 5 Public Housing,Asking the most outrageous and uncomfortable questions to uncover the truth behind what it's like for marginalised and misunderstood Australians.,"We speak to eight Australians who live in public housing to ask them the tough questions such as ""Why do you get a house for doing nothing?""","['ABC TV', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1917H007S00_5e9662e8e0e52.jpg,No more information found,"['abc1', 'panel', 'entertainment', 'factual', 'people', 'culture', 'inspirational', 'emotional', 'irreverent', 'quirky', 'feel-good', 'revealing', 'cald', 'diversity', 'lgbtqi', 'gender', 'disability', 'australia', 'binge-worthy']",2020-04-29 21:32:29,M,1737
