,Spicks And Specks,Would I Lie To You?,Whovians,Spicks And Specks,Would I Lie To You?,Gruen,One Plus One,Barrie Cassidy's One Plus One,The Brothers' Book Club,Spicks And Specks,Would I Lie To You?,Whovians,Spicks And Specks,Would I Lie To You?,Whovians
Spicks And Specks,1.0,0.51,0.34,1.0,0.51,0.55,0.32,0.32,0.45,1.0,0.51,0.34,1.0,0.51,0.34
Would I Lie To You?,0.51,1.0,0.65,0.51,1.0,0.65,0.21,0.21,0.58,0.51,1.0,0.65,0.51,1.0,0.65
Whovians,0.34,0.65,1.0,0.34,0.65,0.45,0.24,0.24,0.53,0.34,0.65,1.0,0.34,0.65,1.0
Spicks And Specks,1.0,0.51,0.34,1.0,0.51,0.55,0.32,0.32,0.45,1.0,0.51,0.34,1.0,0.51,0.34
Would I Lie To You?,0.51,1.0,0.65,0.51,1.0,0.65,0.21,0.21,0.58,0.51,1.0,0.65,0.51,1.0,0.65
Gruen,0.55,0.65,0.45,0.55,0.65,1.0,0.28,0.28,0.57,0.55,0.65,0.45,0.55,0.65,0.45
One Plus One,0.32,0.21,0.24,0.32,0.21,0.28,1.0,0.94,0.33,0.32,0.21,0.24,0.32,0.21,0.24
Barrie Cassidy's One Plus One,0.32,0.21,0.24,0.32,0.21,0.28,0.94,1.0,0.29,0.32,0.21,0.24,0.32,0.21,0.24
The Brothers' Book Club,0.45,0.58,0.53,0.45,0.58,0.57,0.33,0.29,1.0,0.45,0.58,0.53,0.45,0.58,0.53
Spicks And Specks,1.0,0.51,0.34,1.0,0.51,0.55,0.32,0.32,0.45,1.0,0.51,0.34,1.0,0.51,0.34
Would I Lie To You?,0.51,1.0,0.65,0.51,1.0,0.65,0.21,0.21,0.58,0.51,1.0,0.65,0.51,1.0,0.65
Whovians,0.34,0.65,1.0,0.34,0.65,0.45,0.24,0.24,0.53,0.34,0.65,1.0,0.34,0.65,1.0
Spicks And Specks,1.0,0.51,0.34,1.0,0.51,0.55,0.32,0.32,0.45,1.0,0.51,0.34,1.0,0.51,0.34
Would I Lie To You?,0.51,1.0,0.65,0.51,1.0,0.65,0.21,0.21,0.58,0.51,1.0,0.65,0.51,1.0,0.65
Whovians,0.34,0.65,1.0,0.34,0.65,0.45,0.24,0.24,0.53,0.34,0.65,1.0,0.34,0.65,1.0
